molecule_chembl_id	pref_name	canonical_smiles	MW
CHEMBL15770	SULINDAC	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1	356.41800000000006
CHEMBL15677	FENCLOFENAC	O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl	297.13699999999994
CHEMBL276520	INDALPINE	c1ccc2c(CCC3CCNCC3)c[nH]c2c1	228.339
CHEMBL569	PROCAINE	CCN(CC)CCOC(=O)c1ccc(N)cc1	236.315
CHEMBL570	TRIFLUPROMAZINE	CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21	352.42500000000007
CHEMBL571	KETOPROFEN	CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	254.285
CHEMBL572	NITROFURANTOIN	O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1	238.15899999999996
CHEMBL15870	INDOPROFEN	CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1	281.311
CHEMBL15891	LINDANE	Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl	290.832
CHEMBL575	METHICILLIN	COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O	380.42200000000014
CHEMBL577	ENALAPRILAT ANHYDROUS	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O	348.39900000000017
CHEMBL578	ENALAPRIL	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	376.45300000000026
CHEMBL580	LORAZEPAM	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O	321.163
CHEMBL583	GREPAFLOXACIN	Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1	359.4010000000001
CHEMBL585	TRIAMTERENE	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1	253.26900000000003
CHEMBL16476	PRONETALOL	CC(C)NCC(O)c1ccc2ccccc2c1	229.323
CHEMBL118	CELECOXIB	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	381.3790000000001
CHEMBL119	TRIMETREXATE	COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC	369.4250000000001
CHEMBL588	FENOLDOPAM	Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1	305.76099999999997
CHEMBL589	ROPINIROLE	CCCN(CCC)CCc1cccc2c1CC(=O)N2	260.3809999999999
CHEMBL17157	TERFENADINE	CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	471.6850000000001
CHEMBL592	LEVORPHANOL	CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13	257.377
CHEMBL593	DELAVIRDINE	CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1	456.5720000000002
CHEMBL594	EMEDASTINE	CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21	302.422
CHEMBL595	PIOGLITAZONE	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1	356.44700000000006
CHEMBL596	FENTANYL	CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1	336.47900000000004
CHEMBL121	ROSIGLITAZONE	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1	357.435
CHEMBL17860	LOFEXIDINE	CC(Oc1c(Cl)cccc1Cl)C1=NCCN1	259.13599999999997
